,Count,Hour,Temp,Hum,Wind,Visb,Rainfall,Snow,Weekend,Holiday,Fday,DWeek_Friday,DWeek_Monday,DWeek_Saturday,DWeek_Sunday,DWeek_Thursday,DWeek_Tuesday,DWeek_Wedesday,Seasons_Autumn,Seasons_Spring,Seasons_Summer,Seasons_Winter
28,89,4,-3.8,79,2.0,1167,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
29,79,5,-4.0,79,1.5,1202,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
30,70,6,-4.3,82,2.1,1178,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
31,146,7,-4.4,81,2.5,1276,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
32,219,8,-4.2,79,2.1,1436,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
33,328,9,-2.9,68,1.6,1487,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
34,334,10,-0.4,57,1.6,1309,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
35,388,11,1.9,49,1.8,1406,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
36,479,12,4.3,41,1.3,1666,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
37,606,13,6.0,36,1.8,1780,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
38,611,14,7.3,35,1.3,1955,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
39,589,15,7.6,41,2.3,1953,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
40,618,16,6.4,48,2.6,1945,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
41,572,17,6.0,51,2.5,1891,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
42,489,18,5.5,53,1.5,1697,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
43,385,19,5.0,52,2.3,1666,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
44,359,20,4.6,51,1.2,1585,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
45,377,21,4.1,55,1.2,1448,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
46,354,22,3.5,54,1.5,1446,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
47,366,23,4.0,56,1.0,1352,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
48,342,0,4.0,58,1.4,1296,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
49,227,1,3.9,69,1.7,485,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
50,228,2,3.3,79,1.4,830,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
51,117,3,3.4,71,1.6,1011,0.5,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
52,76,4,3.5,73,1.0,1060,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
53,32,5,3.9,75,1.9,914,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
54,13,6,3.4,86,2.5,278,1.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
55,22,7,3.1,91,1.2,129,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
56,85,8,3.2,92,1.8,244,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
57,152,9,3.5,91,1.8,231,2.5,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
58,200,10,4.4,89,2.2,257,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
59,273,11,5.1,87,1.4,321,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
60,333,12,5.8,85,1.7,349,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
61,495,13,6.8,81,1.9,390,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
62,563,14,7.6,76,1.2,422,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
63,621,15,8.0,73,1.6,433,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
64,598,16,7.6,77,1.6,399,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
65,545,17,6.7,82,1.5,358,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
66,443,18,6.0,84,1.9,327,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
67,422,19,5.7,85,1.7,309,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
68,397,20,5.2,87,1.4,253,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
69,385,21,4.7,87,1.2,247,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
70,350,22,4.3,89,1.8,201,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
71,303,23,3.9,90,1.3,194,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
72,285,0,4.2,88,0.6,216,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True
73,186,1,4.3,87,0.5,221,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True
74,112,2,4.4,87,1.8,207,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True
75,65,3,3.6,85,2.3,206,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True
76,41,4,2.8,89,1.5,130,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True
77,82,5,2.0,83,2.7,253,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True
78,200,6,1.2,76,3.7,371,0.1,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True
79,498,7,0.2,68,3.4,702,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True
80,937,8,-0.8,69,3.5,954,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True
81,509,9,-1.5,47,4.2,1888,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True
82,311,10,-1.1,40,4.5,2000,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True
83,379,11,-0.5,41,4.1,1799,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True
84,393,12,-0.3,38,4.8,1823,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True
85,391,13,0.0,30,5.4,1938,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True
86,338,14,0.1,27,4.5,2000,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True
87,341,15,-0.1,25,5.8,2000,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True
88,375,16,-0.2,23,4.7,2000,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True
89,515,17,-1.3,26,5.3,2000,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True
90,807,18,-2.1,29,3.9,2000,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True
91,568,19,-2.9,32,3.2,2000,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True
92,398,20,-3.6,38,3.0,2000,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True
93,397,21,-4.6,43,4.5,2000,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True
94,353,22,-5.3,45,2.5,2000,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True
95,248,23,-5.8,44,2.4,2000,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True
96,216,0,-6.1,42,2.6,2000,0.0,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True
97,198,1,-6.5,41,2.8,2000,0.0,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True
98,124,2,-6.8,41,2.5,2000,0.0,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True
99,62,3,-6.9,39,2.0,2000,0.0,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True
100,42,4,-7.2,34,3.0,2000,0.0,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True
101,82,5,-7.4,33,2.6,2000,0.0,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True
102,172,6,-7.4,34,3.2,2000,0.0,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True
103,381,7,-7.5,33,2.2,2000,0.0,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True
104,812,8,-8.1,36,1.6,2000,0.0,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True
105,462,9,-7.6,31,1.3,1974,0.0,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True
106,269,10,-5.5,26,2.8,1967,0.0,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True
107,334,11,-3.9,25,0.0,1959,0.0,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True
108,321,12,-2.3,25,0.0,1962,0.0,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True
109,325,13,-1.6,27,0.0,1955,0.0,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True
110,334,14,-1.1,28,0.0,2000,0.0,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True
111,353,15,-0.7,28,0.0,2000,0.0,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True
112,435,16,-0.5,30,0.0,2000,0.0,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True
113,529,17,-1.6,35,0.0,2000,0.0,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True
114,789,18,-2.6,40,0.0,2000,0.0,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True
115,597,19,-3.2,45,0.0,2000,0.0,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True
116,418,20,-3.5,46,0.0,2000,0.0,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True
117,415,21,-3.7,47,0.0,2000,0.0,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True
118,393,22,-2.8,49,0.0,2000,0.0,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True
119,244,23,-2.5,59,0.0,1210,0.0,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True
120,145,0,-2.8,77,0.0,331,0.1,0.1,False,False,True,False,False,False,False,False,False,True,False,False,False,True
121,144,1,-3.0,79,0.0,293,0.0,0.3,False,False,True,False,False,False,False,False,False,True,False,False,False,True
122,117,2,-3.0,79,0.0,1862,0.0,0.4,False,False,True,False,False,False,False,False,False,True,False,False,False,True
123,78,3,-3.2,78,0.0,1808,0.2,0.4,False,False,True,False,False,False,False,False,False,True,False,False,False,True
124,58,4,-3.4,75,0.0,1982,0.0,0.4,False,False,True,False,False,False,False,False,False,True,False,False,False,True
125,87,5,-3.6,76,0.0,1934,0.0,0.4,False,False,True,False,False,False,False,False,False,True,False,False,False,True
126,142,6,-3.7,76,0.0,1864,0.0,0.4,False,False,True,False,False,False,False,False,False,True,False,False,False,True
127,379,7,-4.2,77,0.0,1741,0.0,0.3,False,False,True,False,False,False,False,False,False,True,False,False,False,True
128,802,8,-4.2,78,0.0,1518,0.0,0.2,False,False,True,False,False,False,False,False,False,True,False,False,False,True
129,440,9,-3.3,70,0.0,1324,0.0,0.2,False,False,True,False,False,False,False,False,False,True,False,False,False,True
130,307,10,-0.9,64,0.0,1224,0.0,0.2,False,False,True,False,False,False,False,False,False,True,False,False,False,True
131,381,11,1.6,57,1.2,1261,0.0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True
132,405,12,2.4,52,0.9,1224,0.0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True
133,442,13,4.2,47,1.1,1469,0.0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True
134,416,14,5.5,34,1.0,1966,0.0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True
135,412,15,5.5,31,3.1,1968,0.0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True
136,496,16,5.3,37,2.9,2000,0.0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True
137,239,17,4.1,60,2.5,1565,0.0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True
138,204,18,1.7,90,1.0,66,0.3,0.3,False,False,True,False,False,False,False,False,False,True,False,False,False,True
139,205,19,1.2,92,0.7,180,0.0,1.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True
140,190,20,1.2,94,0.6,228,0.0,1.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True
141,165,21,1.1,92,0.5,235,0.7,1.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True
142,222,22,1.3,92,0.6,233,0.0,1.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True
143,193,23,1.3,92,0.6,209,0.0,1.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True
144,198,0,1.4,92,0.5,240,0.0,0.9,False,False,True,False,False,False,False,True,False,False,False,False,False,True
145,218,1,1.5,92,0.4,227,0.0,0.9,False,False,True,False,False,False,False,True,False,False,False,False,False,True
146,149,2,1.4,92,0.7,168,0.0,0.9,False,False,True,False,False,False,False,True,False,False,False,False,False,True
147,102,3,1.9,91,1.4,218,0.0,0.9,False,False,True,False,False,False,False,True,False,False,False,False,False,True
148,62,4,1.6,92,0.7,119,0.0,0.9,False,False,True,False,False,False,False,True,False,False,False,False,False,True
149,83,5,1.5,92,1.1,175,0.0,0.9,False,False,True,False,False,False,False,True,False,False,False,False,False,True
150,137,6,1.0,93,0.5,148,0.0,0.9,False,False,True,False,False,False,False,True,False,False,False,False,False,True
151,367,7,0.3,93,0.5,173,0.0,0.9,False,False,True,False,False,False,False,True,False,False,False,False,False,True
152,754,8,-0.2,96,0.8,173,0.0,0.8,False,False,True,False,False,False,False,True,False,False,False,False,False,True
153,415,9,0.1,91,0.8,265,0.0,0.8,False,False,True,False,False,False,False,True,False,False,False,False,False,True
154,321,10,1.1,83,0.7,311,0.0,0.7,False,False,True,False,False,False,False,True,False,False,False,False,False,True
155,333,11,2.3,69,1.7,628,0.0,0.6,False,False,True,False,False,False,False,True,False,False,False,False,False,True
156,431,12,3.7,65,2.4,833,0.0,0.3,False,False,True,False,False,False,False,True,False,False,False,False,False,True
157,394,13,4.1,37,3.1,1767,0.0,0.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True
158,390,14,4.4,36,2.7,1975,0.0,0.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True
159,430,15,4.0,35,3.1,1962,0.0,0.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True
160,471,16,3.2,38,2.9,1817,0.0,0.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True
161,552,17,2.1,50,2.0,1434,0.0,0.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True
162,795,18,0.7,46,2.7,1558,0.0,0.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True
163,507,19,-0.4,47,2.5,1269,0.0,0.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True
164,390,20,-1.4,47,2.5,1620,0.0,0.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True
165,402,21,-2.2,46,2.2,1975,0.0,0.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True
166,389,22,-2.7,48,2.6,1844,0.0,0.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True
167,259,23,-3.2,50,2.1,1887,0.0,0.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True
168,233,0,-3.5,49,2.6,1893,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
169,230,1,-3.7,50,2.5,1902,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
170,131,2,-4.3,53,1.0,1918,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
171,99,3,-4.8,52,1.6,1978,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
172,71,4,-5.3,53,2.4,1936,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
173,84,5,-5.8,56,2.0,1941,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
174,158,6,-6.0,56,3.5,1853,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
175,387,7,-6.5,57,0.8,1776,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
176,780,8,-7.0,59,0.8,1559,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
177,395,9,-6.7,50,0.9,1492,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
178,261,10,-5.3,44,2.8,1516,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
179,310,11,-3.7,39,1.4,1595,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
180,355,12,-2.0,30,1.4,1728,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
181,354,13,-1.7,28,1.8,1963,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
182,350,14,-1.3,27,3.1,1906,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
183,362,15,-0.8,26,3.3,1977,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
184,401,16,-1.1,24,3.4,2000,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
185,500,17,-2.4,30,2.7,2000,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
186,752,18,-3.1,33,1.2,2000,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
187,477,19,-3.3,35,1.1,2000,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
188,384,20,-3.3,34,1.5,2000,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
189,336,21,-3.3,35,0.5,2000,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
190,347,22,-3.4,39,1.2,2000,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
191,275,23,-3.5,43,0.9,2000,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True
192,267,0,-3.5,48,0.9,1967,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
193,296,1,-4.1,49,0.6,2000,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
194,237,2,-4.7,50,0.7,1983,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
195,169,3,-4.3,47,0.6,1992,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
196,96,4,-4.3,49,0.7,2000,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
197,56,5,-4.7,49,0.8,1999,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
198,76,6,-5.1,53,0.9,1975,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
199,127,7,-5.5,56,0.8,1950,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
200,222,8,-5.4,56,0.7,1940,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
201,291,9,-4.7,48,1.0,1784,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
202,273,10,-2.2,42,1.3,1646,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
203,351,11,0.0,45,1.1,1500,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
204,427,12,2.4,40,0.8,1809,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
205,431,13,3.9,36,2.0,1702,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
206,486,14,4.7,32,2.2,1948,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
207,569,15,5.2,30,2.0,1963,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
208,546,16,4.4,33,1.6,1963,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
209,481,17,3.5,37,1.8,1963,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
210,384,18,2.5,41,1.0,1974,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
211,275,19,1.5,48,0.4,1878,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
212,298,20,0.8,51,1.4,1848,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
213,321,21,-0.1,55,0.7,1654,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
214,289,22,-0.5,55,0.6,1655,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
215,265,23,-0.1,54,1.3,1570,0.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,True
216,326,0,-0.2,55,1.0,1629,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
217,280,1,-0.2,54,0.5,1747,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
218,243,2,0.2,52,0.7,1726,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
219,169,3,0.3,53,0.5,1748,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
220,71,4,0.4,52,1.6,1816,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
221,13,5,0.3,74,1.0,178,0.0,0.7,True,False,True,False,False,False,True,False,False,False,False,False,False,True
222,9,6,-0.5,90,0.9,91,2.5,2.7,True,False,True,False,False,False,True,False,False,False,False,False,False,True
223,20,7,-0.4,92,1.1,121,0.0,4.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
224,35,8,-0.2,90,1.2,378,0.0,4.1,True,False,True,False,False,False,True,False,False,False,False,False,False,True
225,31,9,0.2,90,1.0,305,1.6,4.3,True,False,True,False,False,False,True,False,False,False,False,False,False,True
226,19,10,0.5,91,0.4,143,0.0,4.3,True,False,True,False,False,False,True,False,False,False,False,False,False,True
227,58,11,0.9,92,0.9,137,0.0,3.9,True,False,True,False,False,False,True,False,False,False,False,False,False,True
228,119,12,2.3,88,0.3,245,0.0,3.1,True,False,True,False,False,False,True,False,False,False,False,False,False,True
229,182,13,3.3,87,1.1,230,0.0,2.1,True,False,True,False,False,False,True,False,False,False,False,False,False,True
230,235,14,4.2,85,0.7,325,0.0,1.4,True,False,True,False,False,False,True,False,False,False,False,False,False,True
231,180,15,6.7,63,4.5,715,0.0,1.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
232,214,16,5.4,71,3.5,622,0.0,0.5,True,False,True,False,False,False,True,False,False,False,False,False,False,True
233,226,17,3.6,65,4.3,1061,0.0,0.4,True,False,True,False,False,False,True,False,False,False,False,False,False,True
234,210,18,2.0,61,3.0,2000,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
235,181,19,1.6,53,4.0,2000,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
236,165,20,0.6,57,3.9,1954,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
237,167,21,0.0,59,3.0,1862,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
238,152,22,-1.0,56,4.7,2000,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
239,148,23,-1.4,43,4.3,2000,0.0,0.0,True,False,True,False,False,False,True,False,False,False,False,False,False,True
240,125,0,-2.5,39,3.4,2000,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True
241,111,1,-3.4,36,3.8,2000,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True
242,67,2,-4.2,35,3.4,2000,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True
243,45,3,-4.7,38,2.4,2000,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True
244,44,4,-5.2,35,3.2,2000,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True
245,86,5,-5.6,38,3.2,1974,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True
246,136,6,-5.9,39,2.9,1979,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True
